architecture,activation,optimizer,learning_rate,dropout,epochs,batch_size,mse,mae,cumple_media_cero,cumple_no_autocorr,cumple_normalidad,cumple_homoced,cumple_prioritarios,cumple_todos
"[16, 8]",relu,adam,0.001,0.0,200,16,3.3332275052089244e-05,0.004281388595700264,False,False,False,False,False,False
"[16, 8]",relu,adam,0.001,0.0,200,32,0.00029756283038295805,0.012464968487620354,False,True,False,False,False,False
"[16, 8]",relu,adam,0.001,0.2,200,16,0.009836727753281593,0.07253260910511017,True,False,False,False,False,False
"[16, 8]",relu,adam,0.001,0.2,200,32,0.0037174385506659746,0.040573347359895706,False,False,False,True,False,False
"[16, 8]",relu,adam,0.0001,0.0,200,16,0.001698457170277834,0.030627280473709106,True,True,False,False,False,False
"[16, 8]",relu,adam,0.0001,0.0,200,32,0.018552327528595924,0.09492357820272446,True,True,False,True,True,False
"[16, 8]",relu,adam,0.0001,0.2,200,16,0.0334482416510582,0.10895641148090363,True,False,False,True,False,False
"[16, 8]",relu,adam,0.0001,0.2,200,32,0.13834860920906067,0.24915970861911774,True,False,False,False,False,False
"[16, 8]",tanh,adam,0.001,0.0,200,16,8.613866521045566e-05,0.005599902477115393,True,False,False,False,False,False
"[16, 8]",tanh,adam,0.001,0.0,200,32,0.00025663417181931436,0.007946373894810677,True,True,False,True,True,False
"[16, 8]",tanh,adam,0.001,0.2,200,16,0.01047921646386385,0.05102479085326195,True,False,False,False,False,False
"[16, 8]",tanh,adam,0.001,0.2,200,32,0.008862689137458801,0.03893449902534485,False,False,False,True,False,False
"[16, 8]",tanh,adam,0.0001,0.0,200,16,0.01749408431351185,0.07593615353107452,True,False,False,True,False,False
"[16, 8]",tanh,adam,0.0001,0.0,200,32,0.03613695129752159,0.11463287472724915,True,False,False,False,False,False
"[16, 8]",tanh,adam,0.0001,0.2,200,16,0.02887505479156971,0.08084986358880997,True,False,False,False,False,False
"[16, 8]",tanh,adam,0.0001,0.2,200,32,0.03382651507854462,0.08458723872900009,True,False,False,False,False,False
"[32, 16]",relu,adam,0.001,0.0,200,16,0.00021186740195844322,0.011346555314958096,False,False,False,False,False,False
"[32, 16]",relu,adam,0.001,0.0,200,32,0.0001525390543974936,0.009688667953014374,False,True,False,True,False,False
"[32, 16]",relu,adam,0.001,0.2,200,16,0.008089344948530197,0.060845647007226944,False,False,False,False,False,False
"[32, 16]",relu,adam,0.001,0.2,200,32,0.0048597813583910465,0.0507190078496933,True,False,False,False,False,False
"[32, 16]",relu,adam,0.0001,0.0,200,16,0.0007699748384766281,0.0214800164103508,False,True,False,False,False,False
"[32, 16]",relu,adam,0.0001,0.0,200,32,0.003206951543688774,0.04172080382704735,True,False,False,True,False,False
"[32, 16]",relu,adam,0.0001,0.2,200,16,0.00807068683207035,0.05524080619215965,True,False,False,False,False,False
"[32, 16]",relu,adam,0.0001,0.2,200,32,0.021912170574069023,0.0981299877166748,False,False,False,False,False,False
"[32, 16]",tanh,adam,0.001,0.0,200,16,0.000590633659157902,0.019668733701109886,False,False,False,False,False,False
"[32, 16]",tanh,adam,0.001,0.0,200,32,8.699205500306562e-05,0.006144091486930847,False,False,False,False,False,False
"[32, 16]",tanh,adam,0.001,0.2,200,16,0.0030566267669200897,0.018198084086179733,True,False,False,True,False,False
"[32, 16]",tanh,adam,0.001,0.2,200,32,0.0034448751248419285,0.019286034628748894,False,False,False,True,False,False
"[32, 16]",tanh,adam,0.0001,0.0,200,16,0.005441765766590834,0.0422360934317112,True,False,False,True,False,False
"[32, 16]",tanh,adam,0.0001,0.0,200,32,0.010432524606585503,0.057988714426755905,True,False,False,False,False,False
"[32, 16]",tanh,adam,0.0001,0.2,200,16,0.012181438505649567,0.054054468870162964,True,False,False,True,False,False
"[32, 16]",tanh,adam,0.0001,0.2,200,32,0.013795314356684685,0.05838329717516899,True,False,False,False,False,False
"[64, 32]",relu,adam,0.001,0.0,200,16,0.0004015799786429852,0.015115677379071712,False,False,False,False,False,False
"[64, 32]",relu,adam,0.001,0.0,200,32,0.0004604423593264073,0.014766731299459934,False,False,False,False,False,False
"[64, 32]",relu,adam,0.001,0.2,200,16,0.0015438266564160585,0.027173012495040894,False,False,False,False,False,False
"[64, 32]",relu,adam,0.001,0.2,200,32,0.0012712405296042562,0.026599673554301262,False,False,False,False,False,False
"[64, 32]",relu,adam,0.0001,0.0,200,16,0.00016552626038901508,0.009884160943329334,True,False,False,True,False,False
"[64, 32]",relu,adam,0.0001,0.0,200,32,0.0008790273568592966,0.021916110068559647,False,False,False,False,False,False
"[64, 32]",relu,adam,0.0001,0.2,200,16,0.005704639945179224,0.052408937364816666,False,False,False,False,False,False
"[64, 32]",relu,adam,0.0001,0.2,200,32,0.0030751179438084364,0.038490232080221176,True,False,False,False,False,False
"[64, 32]",tanh,adam,0.001,0.0,200,16,0.0004040223720949143,0.016501326113939285,False,False,False,False,False,False
"[64, 32]",tanh,adam,0.001,0.0,200,32,0.00014748868125025183,0.008844547905027866,False,False,False,False,False,False
"[64, 32]",tanh,adam,0.001,0.2,200,16,0.003601976903155446,0.04543870687484741,False,False,False,False,False,False
"[64, 32]",tanh,adam,0.001,0.2,200,32,0.002733370754867792,0.036005377769470215,False,False,False,False,False,False
"[64, 32]",tanh,adam,0.0001,0.0,200,16,0.00209080521017313,0.0269192922860384,True,False,False,True,False,False
"[64, 32]",tanh,adam,0.0001,0.0,200,32,0.0038630019407719374,0.03743651509284973,True,True,False,False,False,False
"[64, 32]",tanh,adam,0.0001,0.2,200,16,0.004956669639796019,0.04525410011410713,True,False,False,True,False,False
"[64, 32]",tanh,adam,0.0001,0.2,200,32,0.005036997143179178,0.03645502030849457,True,False,False,False,False,False
"[32, 16, 8]",relu,adam,0.001,0.0,200,16,0.0004105584230273962,0.014625860378146172,False,False,False,False,False,False
"[32, 16, 8]",relu,adam,0.001,0.0,200,32,0.00014878348156344146,0.00912496168166399,False,False,False,False,False,False
"[32, 16, 8]",relu,adam,0.001,0.2,200,16,0.032275162637233734,0.11436117440462112,False,False,False,False,False,False
"[32, 16, 8]",relu,adam,0.001,0.2,200,32,0.029810098931193352,0.10471561551094055,False,False,False,False,False,False
"[32, 16, 8]",relu,adam,0.0001,0.0,200,16,0.001024530385620892,0.024089405313134193,False,False,False,True,False,False
"[32, 16, 8]",relu,adam,0.0001,0.0,200,32,0.004514322150498629,0.050768397748470306,True,True,False,False,False,False
"[32, 16, 8]",relu,adam,0.0001,0.2,200,16,0.05656217038631439,0.16133072972297668,False,False,False,False,False,False
"[32, 16, 8]",relu,adam,0.0001,0.2,200,32,0.09021175652742386,0.19454766809940338,False,False,False,False,False,False
"[32, 16, 8]",tanh,adam,0.001,0.0,200,16,7.723098678980023e-05,0.005784421693533659,True,False,False,False,False,False
"[32, 16, 8]",tanh,adam,0.001,0.0,200,32,0.0002092261565849185,0.010068023577332497,False,False,False,False,False,False
"[32, 16, 8]",tanh,adam,0.001,0.2,200,16,0.007111099548637867,0.047496143728494644,False,False,False,True,False,False
"[32, 16, 8]",tanh,adam,0.001,0.2,200,32,0.008111179806292057,0.03671436384320259,True,False,False,True,False,False
"[32, 16, 8]",tanh,adam,0.0001,0.0,200,16,0.005958911031484604,0.04018630459904671,True,False,False,True,False,False
"[32, 16, 8]",tanh,adam,0.0001,0.0,200,32,0.017262915149331093,0.06973496079444885,True,False,False,False,False,False
"[32, 16, 8]",tanh,adam,0.0001,0.2,200,16,0.032682228833436966,0.088694266974926,True,False,False,False,False,False
"[32, 16, 8]",tanh,adam,0.0001,0.2,200,32,0.042568352073431015,0.10307319462299347,True,False,False,False,False,False
"[64, 32, 16]",relu,adam,0.001,0.0,200,16,0.00018005294259637594,0.009624862112104893,True,False,False,False,False,False
"[64, 32, 16]",relu,adam,0.001,0.0,200,32,0.00018648359400685877,0.010536066256463528,False,False,False,False,False,False
"[64, 32, 16]",relu,adam,0.001,0.2,200,16,0.0012709967559203506,0.02618260867893696,False,False,False,False,False,False
"[64, 32, 16]",relu,adam,0.001,0.2,200,32,0.015015206299722195,0.07409992069005966,True,False,False,False,False,False
"[64, 32, 16]",relu,adam,0.0001,0.0,200,16,0.00018875411478802562,0.010605834424495697,False,True,True,True,False,False
"[64, 32, 16]",relu,adam,0.0001,0.0,200,32,0.0008579656714573503,0.022519301623106003,True,True,False,True,True,False
"[64, 32, 16]",relu,adam,0.0001,0.2,200,16,0.010315630584955215,0.06808891147375107,True,False,False,False,False,False
"[64, 32, 16]",relu,adam,0.0001,0.2,200,32,0.015414606779813766,0.08508479595184326,False,False,False,False,False,False
"[64, 32, 16]",tanh,adam,0.001,0.0,200,16,0.0005524809821508825,0.019928650930523872,False,False,False,False,False,False
"[64, 32, 16]",tanh,adam,0.001,0.0,200,32,0.0005038268282078207,0.0180953461676836,False,False,False,False,False,False
"[64, 32, 16]",tanh,adam,0.001,0.2,200,16,0.004627919290214777,0.0426538921892643,False,False,False,False,False,False
"[64, 32, 16]",tanh,adam,0.001,0.2,200,32,0.004159496631473303,0.038674306124448776,False,False,False,True,False,False
"[64, 32, 16]",tanh,adam,0.0001,0.0,200,16,0.0020070504397153854,0.024836046621203423,True,False,False,True,False,False
"[64, 32, 16]",tanh,adam,0.0001,0.0,200,32,0.004020067397505045,0.03252451494336128,True,True,False,True,True,False
"[64, 32, 16]",tanh,adam,0.0001,0.2,200,16,0.011099332943558693,0.04670161008834839,True,False,False,False,False,False
"[64, 32, 16]",tanh,adam,0.0001,0.2,200,32,0.01647244207561016,0.07254492491483688,True,False,False,True,False,False
"[128, 64, 32]",relu,adam,0.001,0.0,200,16,0.00026326091028749943,0.012770053930580616,False,False,False,False,False,False
"[128, 64, 32]",relu,adam,0.001,0.0,200,32,0.0002952235226985067,0.011986380442976952,False,False,False,False,False,False
"[128, 64, 32]",relu,adam,0.001,0.2,200,16,0.006387166678905487,0.0669667199254036,False,False,False,False,False,False
"[128, 64, 32]",relu,adam,0.001,0.2,200,32,0.005090909078717232,0.04925141483545303,False,False,False,False,False,False
"[128, 64, 32]",relu,adam,0.0001,0.0,200,16,9.364421566715464e-05,0.0075576212257146835,False,False,False,False,False,False
"[128, 64, 32]",relu,adam,0.0001,0.0,200,32,0.0001671271602390334,0.010031315498054028,True,False,False,True,False,False
"[128, 64, 32]",relu,adam,0.0001,0.2,200,16,0.007540285121649504,0.06396007537841797,True,False,False,False,False,False
"[128, 64, 32]",relu,adam,0.0001,0.2,200,32,0.004715391434729099,0.04517994076013565,False,False,False,False,False,False
"[128, 64, 32]",tanh,adam,0.001,0.0,200,16,0.0007120960508473217,0.020184071734547615,True,False,False,False,False,False
"[128, 64, 32]",tanh,adam,0.001,0.0,200,32,0.001926708617247641,0.0370577834546566,False,False,False,False,False,False
"[128, 64, 32]",tanh,adam,0.001,0.2,200,16,0.008076933212578297,0.05105849727988243,True,False,False,False,False,False
"[128, 64, 32]",tanh,adam,0.001,0.2,200,32,0.01077785063534975,0.08371792733669281,False,False,False,False,False,False
"[128, 64, 32]",tanh,adam,0.0001,0.0,200,16,0.0008382347295992076,0.019974492490291595,True,False,False,False,False,False
"[128, 64, 32]",tanh,adam,0.0001,0.0,200,32,0.0011115351226180792,0.019586848095059395,True,False,False,True,False,False
"[128, 64, 32]",tanh,adam,0.0001,0.2,200,16,0.00488512497395277,0.04335803911089897,True,False,False,True,False,False
"[128, 64, 32]",tanh,adam,0.0001,0.2,200,32,0.005913120228797197,0.04474177584052086,True,False,False,True,False,False
